Avocado Cucumber Tomato Salad,Our family's favorite classic cucumber and tomato salad just got better with the addition of avocado,Images/Cucumber-tomato-avocado-salad.jpg,1 lb,Cherry tomatoes,halved,1,cucumber,sliced,1/2,medium red onion,sliced,2,avocados,sliced,1/3 cup,Olive oil,null,3 Tbps,Balsamic Vinegar,decanted,1 Tbps,Lemon Juice,null,1/2 tsp,basil,dried,1 tsp,garlic,minced,1/4 tsp,salt,null,1/4 tsp,pepper,null,2 Tbsp,cilantro,chopped,null,null,null,null,null,null,null,null,null,Instruction1,Instruction2,Instruction3,Instruction3,Instruction4,Instruction5,Intruction6,Insruction7,Instruction8,Instruction9,Instruction10,Instruction11,Instruction12,Instruction13,Instruction14,Instruction15
Beef Stroganoff with White Wine,Comfort food at its finest! Steak in a creamy white wine sauce served over pasta.,Images/Creamy-Beef-Stroganoff.jpg,3 TBSP,Butter,Room temp,Amount2,Ingredient2,Prep2,Amount3,Ingredient3,Prep3,Amount4,Ingredient4,Prep4,Amount5,Ingredient5,Prep5,Amount6,Ingredient6,Prep6,Amount7,Ingredient7,Prep7,Amount8,Ingredient8,Prep8,Amount9,Ingredient9,Prep9,Amount10,Ingredient10,Prep10,Amount11,Ingredient11,Prep11,Amount12,Ingredient12,Prep12,Amount13,Ingredient13,Prep13,Amount14,Ingredient14,Prep14,Amount15,Ingredient15,Prep15,Instruction1,Instruction2,Instruction3,Instruction3,Instruction4,Instruction5,Intruction6,Insruction7,Instruction8,Instruction9,Instruction10,Instruction11,Instruction12,Instruction13,Instruction14,Instruction15
Tomato Soup,Tomatoes roasted with a hint of garlic to bring out the natural flavor and then blended to a creamy finish.,Images/Tomato-Soup.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Butternut Squash Cannelloni,Squash filling and peppery greens are placedinthe center of sheets of pasta.,Images/Butternut-squash.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Tuscan white Bean soup,This Tuscan White Bean Soup is a simple and savory vegetarian recipe that comes together in less than 30 minutes!This Tuscan White Bean Soup is a simple and savory vegetarian recipe that comes together in less than 30 minutes!,Images/Tuscan-white-bean-soup.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Adult Tuna Caserole,A grown up version of a timeless Classic,Images/tuna-caserole.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Summer Veggie Cioppin,A vegitarian version of a cult classic.,Images/summer-veggie-cioppino.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
White Bean and Mushroom Soup,Naturally vegan and allergy-friendly! Sure to please Creamy umami.,Images/vegan-white-bean-mushroom-soup.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Chili,Award winning authentic New mexico style cattle drive chili.,Images/Chili.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Mediterranean Turkey Skillet,Ive always heard that its important to eat a rainbow of colors to get all of the nutrients we need Just add some lean protien.,Images/Med-Turkey-Skillet.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Mediterranean Chicken Skillet,This single-skillet recipe is impressive enough to make it company-worthy,Images/Med-Chicken-Skillet.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Moo shu pork,Top of the line 1980s Dish. Fan Favorite.,Images/mooshupo.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
